Date,MMWR_week,Location,Administered,Administered_5Plus,Administered_12Plus,Administered_18Plus,Administered_65Plus
2023-05-10,19,NE,3822190,3793971,3647301,3412154,1117112
2023-05-10,19,LA,6961453,6945414,6796682,6443990,2090638
2023-05-10,19,GA,17124791,17045184,16545894,15542310,4409764
2023-05-10,19,WY,854132,851464,831727,790769,284622
2023-05-10,19,CO,13033446,12899729,12396074,11614071,3172390
2023-05-10,19,PA,27586432,27360998,26407167,24920539,8490730
2023-05-10,19,DE,2169125,2157007,2088591,1964981,709063
2023-05-10,19,OR,9399175,9326386,8983058,8453948,2698104
2023-05-10,19,WI,12444016,12347025,11929874,11264241,3948468
2023-05-10,19,ND,1314469,1302373,1253917,1185548,387008
2023-05-10,19,TX,52510128,52202980,49895466,45886244,11446503
2023-05-10,19,MN,12829141,12676218,12114369,11347972,3643197
2023-05-10,19,UT,6158852,6102281,5801394,5290264,1294736
2023-05-10,19,SC,8666603,8628155,8409793,7976144,2874066
2023-05-10,19,DC,2137377,2107001,2023458,1929032,401929
2023-05-10,19,NC,19434544,19307953,18654494,17562898,5615802
2023-05-10,19,WA,17723480,17527908,16811064,15765601,4558849
2023-05-10,19,SD,1688981,1677843,1613833,1514662,529490
2023-05-10,19,PR,7846764,7835276,7487076,6912278,2052439
2023-05-10,19,RI,2672092,2653380,2562457,2410118,734141
2023-05-10,19,IA,6131087,6087851,5891253,5562759,2010678
2023-05-10,19,FM,209225,201820,169672,143343,11738
2023-05-10,19,PW,51971,51842,49016,45216,5682
2023-05-10,19,NV,5590682,5574740,5427381,5107791,1506132
2023-05-10,19,KY,7510137,7476385,7272769,6888439,2268519
2023-05-10,19,VI,155357,155197,152537,145241,46183
2023-05-10,19,WV,3098571,3091110,3032881,2896775,1085531
2023-05-10,19,VA2,8700837,8700647,8700624,8697186,4771928
2023-05-10,19,ME,3542346,3513130,3397619,3221208,1203849
2023-05-10,19,ID,2894361,2880969,2801658,2645579,920782
2023-05-10,19,BP2,347809,347807,347807,347807,11923
2023-05-10,19,MP,118647,117751,108250,95339,10096
2023-05-10,19,US,676728782,672207981,648276706,607682588,184147668
2023-05-10,19,IH2,2570629,2553859,2439831,2228916,480149
2023-05-10,19,MS,4307637,4300704,4208381,3979870,1336695
2023-05-10,19,IL,26859342,26634969,25513199,23826876,6957565
2023-05-10,19,KS,5387922,5343759,5147540,4814170,1591481
2023-05-10,19,MH,101838,97824,86362,73956,4741
2023-05-10,19,FL,42267369,42170603,41250721,39182461,14562698
2023-05-10,19,MO,10509024,10436670,10127536,9580236,3273905
2023-05-10,19,GU,400123,399081,379349,342458,59245
2023-05-10,19,VT,1762563,1741061,1665408,1563668,543423
2023-05-10,19,CT,9040989,8979810,8655595,8083479,2487123
2023-05-10,19,OH,21104771,20953686,20307727,19234406,6672444
2023-05-10,19,NJ,19826065,19716033,18992682,17720714,4884208
2023-05-10,19,DD2,9424723,9397339,9203945,8682623,895341
2023-05-10,19,TN,11323319,11280878,11021005,10496164,3532810
2023-05-10,19,CA,88487852,87770511,84209216,78293473,20318668
2023-05-10,19,MT,1870288,1860918,1807283,1716298,650230
2023-05-10,19,IN,11201087,11150800,10805706,10195732,3437978
2023-05-10,19,NY,45177512,44905087,43358022,40751830,11021128
2023-05-10,19,AL,7018011,6999031,6860641,6526261,2246025
2023-05-10,19,VA,19608172,19432204,18597260,17349594,4957451
2023-05-10,19,MD,14722268,14577162,13938360,12954316,3637887
2023-05-10,19,AR,4874091,4854485,4717675,4435479,1506049
2023-05-10,19,HI,3530357,3506419,3366686,3153134,1001776
2023-05-10,19,OK,6773461,6752479,6583778,6207317,1994224
2023-05-10,19,NH,2983122,2965331,2883057,2721160,914147
2023-05-10,19,AZ,14647405,14571101,14021892,13071728,4465401
2023-05-10,19,MI,18769116,18642433,18057078,17096779,5835911
2023-05-10,19,AS,115281,115255,102456,85719,9484
2023-05-10,19,AK,1328221,1318313,1263881,1177565,288287
2023-05-10,19,MA,18179748,17999996,17227811,16126195,4582382
2023-05-10,19,NM,4750638,4720881,4542727,4243020,1367539
2023-05-03,18,DC,2137346,2106970,2023427,1929001,401912
2023-05-03,18,CA,88366823,87653520,84094978,78181908,20237159
2023-05-03,18,NM,4745214,4715657,4537673,4238104,1363932
2023-05-03,18,TN,11316599,11274306,11014695,10490076,3528616
2023-05-03,18,MO,10500295,10428335,10119458,9572437,3268434
2023-05-03,18,OR,9382077,9309859,8966882,8438088,2685485
2023-05-03,18,NY,45140882,44869974,43324041,40719076,10998252
2023-05-03,18,NE,3819114,3791046,3644519,3409524,1115558
2023-05-03,18,AZ,14630900,14554737,14006180,13056629,4455276
2023-05-03,18,FM,209225,201820,169672,143343,11738
2023-05-03,18,PW,51971,51842,49016,45216,5682
2023-05-03,18,MD,14704163,14559940,13921836,12938352,3626031
2023-05-03,18,IH2,2568895,2552328,2438458,2227658,479667
2023-05-03,18,KY,7505555,7471925,7268436,6884228,2265880
2023-05-03,18,GU,399682,398660,378965,342118,59123
2023-05-03,18,CT,9032746,8971814,8647757,8075800,2481090
2023-05-03,18,OH,21086553,20936100,20290681,19217840,6661034
2023-05-03,18,MT,1870219,1860852,1807218,1716233,650198
2023-05-03,18,MP,118553,117670,108178,95274,10084
2023-05-03,18,AR,4870800,4851239,4714503,4432391,1503985
2023-05-03,18,IL,26819579,26596713,25476133,23790993,6936404
2023-05-03,18,NC,19421329,19294919,18641628,17550228,5606223
2023-05-03,18,WI,12431416,12334851,11918078,11252788,3940339
2023-05-03,18,US,676006980,671511955,647602661,607029065,183703964
2023-05-03,18,VA,19570925,19396918,18563062,17316265,4933339
2023-05-03,18,PA,27560188,27335962,26383416,24898290,8479833
2023-05-03,18,OK,6768699,6747816,6579248,6202948,1991270
2023-05-03,18,MS,4304122,4297214,4204950,3976546,1334929
2023-05-03,18,SC,8660305,8622065,8403845,7970341,2869832
2023-05-03,18,MH,101838,97824,86362,73956,4741
2023-05-03,18,UT,6158782,6102211,5801324,5290194,1294699
2023-05-03,18,IA,6126887,6083815,5887368,5559009,2008080
2023-05-03,18,IN,11192412,11142164,10797467,10187813,3432693
2023-05-03,18,WY,852945,850281,830569,789648,283838
2023-05-03,18,CO,13018349,12885234,12382160,11600581,3163375
2023-05-03,18,MN,12813121,12661288,12099997,11334048,3633402
2023-05-03,18,MA,18137370,17959232,17188244,16087598,4552667
2023-05-03,18,KS,5383363,5339446,5143423,4810218,1588905
2023-05-03,18,WA,17693855,17499931,16783997,15739227,4539152
2023-05-03,18,WV,3096932,3089479,3031269,2895196,1084354
2023-05-03,18,SD,1687837,1676739,1612756,1513628,528758
2023-05-03,18,PR,7838884,7827456,7479447,6904975,2048812
2023-05-03,18,FL,42231211,42134983,41216009,39148661,14541114
2023-05-03,18,NV,5585402,5569532,5422285,5102774,1502486
2023-05-03,18,VT,1759709,1738357,1662785,1561131,541516
2023-05-03,18,LA,6957067,6941087,6792441,6439879,2088222
2023-05-03,18,TX,52457806,52152844,49848000,45840819,11424699
2023-05-03,18,ID,2890835,2877487,2798225,2642203,918483
2023-05-03,18,VI,155288,155131,152473,145177,46146
2023-05-03,18,NH,2979617,2961967,2879761,2717929,911551
2023-05-03,18,BP2,347808,347806,347806,347806,11923
2023-05-03,18,VA2,8694563,8694373,8694350,8690912,4767586
2023-05-03,18,AS,115265,115242,102449,85716,9484
2023-05-03,18,NJ,19811283,19701645,18978599,17707055,4875219
2023-05-03,18,DE,2169096,2156978,2088564,1964954,709045
2023-05-03,18,ME,3536883,3507904,3392545,3216236,1199872
2023-05-03,18,ND,1313608,1301602,1253209,1184880,386656
2023-05-03,18,AK,1326639,1316757,1262396,1176125,287276
2023-05-03,18,MI,18750089,18624136,18039262,17079481,5823370
2023-05-03,18,DD2,9420423,9393226,9200140,8679203,894641
2023-05-03,18,AL,7014357,6995447,6857164,6522883,2243778
2023-05-03,18,HI,3523861,3500123,3360516,3147076,996685
2023-05-03,18,RI,2669189,2650611,2559778,2407529,732319
2023-05-03,18,GA,17111274,17032087,16533300,15530171,4402460
2023-04-26,17,SD,1687524,1676441,1612484,1513381,528645
2023-04-26,17,NE,3815939,3788017,3641657,3406825,1114055
2023-04-26,17,FM,209225,201820,169672,143343,11738
2023-04-26,17,BP2,347808,347806,347806,347806,11923
2023-04-26,17,KS,5379065,5335481,5139648,4806608,1586637
2023-04-26,17,MT,1866938,1857612,1804032,1713089,648152
2023-04-26,17,IL,26794262,26572666,25452857,23768310,6920562
2023-04-26,17,TX,52412054,52109188,49806781,45801432,11407115
2023-04-26,17,MI,18730856,18605628,18021298,17062078,5810831
2023-04-26,17,TN,11288810,11247335,10988714,10465110,3518385
2023-04-26,17,IA,6121815,6078899,5882617,5554401,2004872
2023-04-26,17,PR,7838758,7827330,7479321,6904849,2048724
2023-04-26,17,VT,1757365,1736130,1660644,1559056,539972
2023-04-26,17,DC,2134802,2104516,2021073,1926727,400544
2023-04-26,17,ND,1312917,1300967,1252635,1184366,386475
2023-04-26,17,OK,6763834,6743076,6574643,6198490,1988460
2023-04-26,17,KY,7500941,7467435,7264059,6879968,2263199
2023-04-26,17,VI,155282,155125,152467,145171,46140
2023-04-26,17,NJ,19798128,19688861,18966120,17695009,4868082
2023-04-26,17,DE,2166140,2154114,2085817,1962304,707272
2023-04-26,17,FL,42195857,42100250,41182182,39115722,14519982
2023-04-26,17,MO,10492844,10421268,10112576,9565742,3263942
2023-04-26,17,WV,3095380,3087934,3029741,2893700,1083362
2023-04-26,17,MD,14688053,14544684,13907419,12924431,3616034
2023-04-26,17,NC,19408004,19281802,18628762,17537618,5597119
2023-04-26,17,MP,118436,117562,108086,95192,10072
2023-04-26,17,NY,45107235,44837859,43293145,40689394,10978419
2023-04-26,17,NM,4740415,4711077,4533267,4233862,1360913
2023-04-26,17,PA,27536533,27313374,26362356,24878639,8471200
2023-04-26,17,AK,1325329,1315457,1261141,1174910,286461
2023-04-26,17,CA,88296470,87585962,84029336,78117931,20192392
2023-04-26,17,SC,8654729,8616751,8398673,7965335,2866351
2023-04-26,17,NV,5580814,5565025,5417884,5098488,1499641
2023-04-26,17,RI,2666454,2648029,2557313,2405166,730666
2023-04-26,17,CO,12995654,12864102,12362281,11581716,3153131
2023-04-26,17,DD2,9416703,9389622,9196843,8676138,894162
2023-04-26,17,VA,19569952,19395956,18562153,17315368,4932707
2023-04-26,17,WY,852892,850230,830521,789609,283817
2023-04-26,17,ME,3531864,3503124,3387886,3211671,1196314
2023-04-26,17,UT,6158682,6102118,5801231,5290101,1294647
2023-04-26,17,OR,9367024,9295511,8952954,8424525,2675761
2023-04-26,17,US,675442636,670970432,647081246,606525409,183387383
2023-04-26,17,ID,2888400,2875079,2795864,2639908,917072
2023-04-26,17,PW,51971,51842,49016,45216,5682
2023-04-26,17,GA,17098853,17020122,16521804,15519073,4396127
2023-04-26,17,MS,4302321,4295418,4203192,3974825,1334145
2023-04-26,17,AZ,14616367,14540304,13992354,13043378,4446603
2023-04-26,17,AR,4867436,4847956,4711311,4429310,1502124
2023-04-26,17,IH2,2567101,2550705,2437032,2226383,479237
2023-04-26,17,HI,3517707,3494088,3354561,3141198,991681
2023-04-26,17,GU,399659,398637,378943,342096,59119
2023-04-26,17,NH,2977048,2959505,2877370,2715621,909941
2023-04-26,17,OH,21069552,20919732,20274800,19202379,6650999
2023-04-26,17,CT,9024563,8963862,8639974,8068207,2475195
2023-04-26,17,MA,18137063,17958925,17187937,16087291,4552407
2023-04-26,17,WA,17669359,17477491,16762538,15718415,4525051
2023-04-26,17,IN,11185206,11135004,10790555,10181126,3428449
2023-04-26,17,MN,12798884,12647942,12087240,11321724,3625340
2023-04-26,17,VA2,8688571,8688381,8688358,8684920,4763719
2023-04-26,17,AS,115265,115242,102449,85716,9484
2023-04-26,17,WI,12419813,12323643,11907256,11242331,3933430
2023-04-26,17,MH,101022,97254,85856,73524,4718
2023-04-26,17,AL,7011237,6992398,6854225,6520048,2242007
2023-04-26,17,LA,6954150,6938195,6789610,6437149,2086596
2023-04-19,16,DD2,9413149,9386231,9193664,8673206,893828
2023-04-19,16,IH2,2565410,2549145,2435652,2225136,478908
2023-04-19,16,WA,17651998,17461746,16747693,15704162,4516619
2023-04-19,16,KS,5376404,5333061,5137398,4804495,1585715
2023-04-19,16,NH,2975552,2958184,2876157,2714504,909479
2023-04-19,16,WY,852573,849916,830219,789321,283675
2023-04-19,16,CA,88239336,87532163,83977839,78068594,20165980
2023-04-19,16,DE,2166103,2154077,2085781,1962270,707260
2023-04-19,16,CO,12995318,12863773,12361968,11581411,3152950
2023-04-19,16,PW,51971,51842,49016,45216,5682
2023-04-19,16,AL,7008089,6989350,6851282,6517207,2240450
2023-04-19,16,US,675024615,670577043,646709270,606171903,183209795
2023-04-19,16,NV,5577899,5562191,5415131,5095813,1498360
2023-04-19,16,NC,19393208,19267769,18615610,17525212,5591920
2023-04-19,16,MT,1865779,1856498,1803025,1712138,647694
2023-04-19,16,NJ,19787063,19678176,18955742,17685049,4863013
2023-04-19,16,OH,21055434,20906476,20262226,19190376,6645254
2023-04-19,16,MA,18124182,17946770,17176436,16076371,4545539
2023-04-19,16,TX,52374666,52074227,49774605,45771242,11395813
2023-04-19,16,VI,155046,154889,152231,144940,46034
2023-04-19,16,NE,3813573,3785825,3639629,3404907,1113292
2023-04-19,16,NY,45079873,44811968,43268430,40665959,10965067
2023-04-19,16,FM,208912,201531,169411,143136,11726
2023-04-19,16,ME,3528892,3500352,3385265,3209163,1194748
2023-04-19,16,OR,9361518,9290561,8948281,8420174,2673831
2023-04-19,16,HI,3514303,3490828,3351410,3138136,989546
2023-04-19,16,CT,9018935,8958483,8634745,8063173,2471857
2023-04-19,16,MI,18719812,18595396,18011614,17052945,5805957
2023-04-19,16,UT,6151348,6095510,5795207,5284588,1292705
2023-04-19,16,BP2,347778,347776,347776,347776,11923
2023-04-19,16,WV,3094699,3087269,3029093,2893071,1083035
2023-04-19,16,IN,11178808,11128814,10784701,10175585,3425652
2023-04-19,16,AK,1324490,1314642,1260384,1174205,286124
2023-04-19,16,MP,118309,117477,108016,95137,10060
2023-04-19,16,KY,7497398,7463998,7260737,6876742,2261409
2023-04-19,16,AZ,14605599,14529764,13982411,13033993,4441393
2023-04-19,16,ID,2886567,2873294,2794131,2638223,916148
2023-04-19,16,MH,100828,97076,85692,73368,4716
2023-04-19,16,RI,2664610,2646307,2555676,2403625,729858
2023-04-19,16,SD,1687249,1676174,1612242,1513160,528574
2023-04-19,16,TN,11284470,11243076,10984892,10461529,3516654
2023-04-19,16,VT,1755962,1734842,1659459,1557927,539387
2023-04-19,16,PR,7838632,7827204,7479195,6904723,2048634
2023-04-19,16,OK,6760698,6740061,6571757,6195728,1987273
2023-04-19,16,DC,2124657,2094472,2011346,1917458,396727
2023-04-19,16,MD,14676625,14534143,13897529,12915006,3610277
2023-04-19,16,NM,4736613,4707479,4529862,4230610,1359005
2023-04-19,16,VA,19558240,19385316,18552114,17305767,4927436
2023-04-19,16,GA,17089782,17011589,16513787,15511494,4393210
2023-04-19,16,FL,42173438,42078405,41161361,39095854,14511462
2023-04-19,16,IL,26771670,26551369,25432406,23748410,6908842
2023-04-19,16,PA,27525042,27302882,26352866,24869979,8467524
2023-04-19,16,MO,10487191,10416016,10107581,9560951,3261286
2023-04-19,16,AS,115259,115236,102443,85712,9483
2023-04-19,16,ND,1312174,1300356,1252093,1183875,386344
2023-04-19,16,MN,12789752,12639817,12079755,11314737,3622560
2023-04-19,16,AR,4865155,4845739,4709173,4427232,1500849
2023-04-19,16,IA,6118376,6075685,5879598,5551562,2003463
2023-04-19,16,WI,12412886,12317226,11901242,11236710,3931010
2023-04-19,16,LA,6951069,6935171,6786701,6434365,2085303
2023-04-19,16,GU,399428,398419,378742,341908,59091
2023-04-19,16,MS,4301938,4295049,4202836,3974476,1333996
2023-04-19,16,VA2,8683166,8682976,8682953,8679516,4760453
2023-04-19,16,SC,8650893,8613169,8395258,7962047,2864445
2023-04-12,15,MT,1864139,1854962,1801609,1710814,647264
2023-04-12,15,KY,7494480,7461265,7258261,6874433,2260745
2023-04-12,15,NJ,19779469,19671120,18949117,17678923,4861168
2023-04-12,15,AK,1323782,1314008,1259819,1173687,285969
2023-04-12,15,RI,2663208,2645035,2554495,2402542,729530
2023-04-12,15,MH,100289,96632,85324,73048,4688
2023-04-12,15,AZ,14593301,14518143,13971775,13024553,4438790
2023-04-12,15,CT,9015651,8955466,8631923,8060576,2470972
2023-04-12,15,CO,12986889,12856396,12355338,11575346,3151435
2023-04-12,15,LA,6948944,6933085,6784719,6432508,2084682
2023-04-12,15,NV,5575811,5560179,5413203,5093971,1497819
2023-04-12,15,ID,2884326,2871127,2792031,2636183,915571
2023-04-12,15,PW,51962,51833,49007,45207,5682
2023-04-12,15,MS,4298988,4292157,4200024,3971755,1332926
2023-04-12,15,PA,27472663,27255433,26309685,24830679,8453241
2023-04-12,15,MN,12781003,12632397,12073082,11308534,3620959
2023-04-12,15,FM,208710,201339,169245,142995,11718
2023-04-12,15,DE,2165390,2153416,2085188,1961730,707081
2023-04-12,15,PR,7836119,7824747,7476806,6902489,2047754
2023-04-12,15,OH,21043347,20895725,20254109,19183660,6643032
2023-04-12,15,NM,4733684,4704738,4527303,4228210,1358213
2023-04-12,15,IH2,2563765,2547685,2434393,2224030,478662
2023-04-12,15,NE,3811166,3783687,3637663,3403091,1112733
2023-04-12,15,IA,6115596,6073216,5877354,5549500,2002752
2023-04-12,15,IL,26759923,26541406,25423396,23740208,6906382
2023-04-12,15,WA,17639837,17451516,16738512,15695704,4514313
2023-04-12,15,MO,10482738,10412052,10103885,9557479,3260032
2023-04-12,15,TN,11280871,11239655,10981981,10458824,3515706
2023-04-12,15,MP,118218,117400,107957,95087,10058
2023-04-12,15,WY,852206,849569,829892,789026,283568
2023-04-12,15,GA,17080681,17003167,16505989,15504264,4390936
2023-04-12,15,ME,3526641,3498317,3383369,3207392,1194110
2023-04-12,15,DC,2123480,2093366,2010336,1916532,396458
2023-04-12,15,OK,6758078,6737564,6569382,6193513,1986539
2023-04-12,15,MD,14669253,14527812,13891806,12909734,3608609
2023-04-12,15,WV,3094030,3086629,3028478,2892483,1082814
2023-04-12,15,MI,18701905,18579412,17996888,17039174,5801520
2023-04-12,15,KS,5373642,5330607,5135157,4802423,1585006
